Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,139.320007,141.020004,139.000000,140.059998,135.989090,3828700
2020-09-01,140.250000,140.479996,138.509995,139.190002,135.144379,3421700
2020-09-02,139.520004,143.820007,139.350006,143.289993,139.125214,4918200
2020-09-03,142.770004,144.039993,138.119995,139.369995,136.292191,6642400
2020-09-04,139.660004,140.309998,136.940002,138.759995,135.695663,4836400
2020-09-08,138.309998,138.630005,134.410004,135.550003,132.556549,4901500
2020-09-09,135.500000,138.460007,135.399994,137.110001,134.082092,4282300
2020-09-10,136.600006,137.550003,133.880005,134.759995,131.783997,6050500
2020-09-11,135.220001,136.380005,134.229996,135.809998,132.810806,3411900
2020-09-14,136.529999,137.500000,135.800003,136.669998,133.651825,2779000
2020-09-15,136.479996,137.240005,135.410004,135.619995,132.625015,4080800
2020-09-16,136.279999,136.600006,134.779999,134.979996,131.999146,3353500
2020-09-17,133.389999,134.550003,131.690002,133.199997,130.258453,5186400
2020-09-18,133.710007,134.789993,130.009995,131.470001,128.566650,8473000
2020-09-21,130.369995,131.309998,129.360001,131.240005,128.341736,4402700
2020-09-22,131.000000,132.889999,130.449997,132.149994,129.231628,3951000
2020-09-23,132.699997,132.820007,129.850006,131.000000,128.107040,5909900
2020-09-24,131.440002,132.309998,129.919998,131.580002,128.674225,4316600
2020-09-25,130.889999,133.830002,130.509995,133.550003,130.600723,4576000
2020-09-28,136.039993,138.580002,135.669998,137.970001,134.923111,7487500
2020-09-29,138.660004,139.539993,137.130005,137.160004,134.131012,4330500
2020-09-30,137.990005,139.190002,136.899994,138.600006,135.539215,7060700
2020-10-01,139.440002,140.850006,137.490005,140.800003,137.690613,6483900
2020-10-02,139.279999,139.910004,136.199997,138.059998,135.011124,5130200
2020-10-05,138.110001,138.380005,136.979996,137.929993,134.884003,4519800
2020-10-06,138.000000,138.820007,135.149994,135.699997,132.703247,5031000
2020-10-07,135.940002,137.520004,135.759995,137.009995,133.984299,4347300
2020-10-08,137.279999,138.130005,136.759995,137.850006,134.805771,2977400
2020-10-09,138.699997,139.259995,137.899994,138.440002,135.382736,3194000
2020-10-12,141.119995,143.490005,139.779999,142.130005,138.991241,6167200
2020-10-13,142.220001,144.000000,141.910004,143.539993,140.370102,4293200
2020-10-14,143.550003,144.110001,141.630005,142.520004,139.372635,3641000
2020-10-15,141.160004,141.970001,140.619995,141.429993,138.306686,3306800
2020-10-16,141.750000,142.820007,141.130005,141.729996,138.600067,5076000
2020-10-19,141.339996,142.529999,139.250000,139.679993,136.595352,3223200
2020-10-20,141.000000,141.220001,139.410004,139.710007,136.624710,2750900
2020-10-21,139.679993,140.479996,139.100006,139.600006,136.517120,2560100
2020-10-22,139.800003,140.199997,139.009995,139.610001,136.526901,2909000
2020-10-23,140.220001,140.529999,139.039993,139.559998,136.477997,2758400
2020-10-26,138.740005,139.080002,136.410004,138.059998,135.011124,3431100
2020-10-27,138.570007,139.889999,138.300003,139.119995,136.047714,3390800
2020-10-28,137.149994,137.710007,133.940002,134.169998,131.207031,5196000
2020-10-29,133.759995,135.630005,132.259995,133.990005,131.031006,3856500
2020-10-30,132.929993,133.839996,131.710007,133.289993,130.346451,4303900
2020-11-02,135.610001,136.229996,133.779999,135.149994,132.165375,3126400
2020-11-03,136.619995,138.600006,136.279999,137.039993,134.013641,3293900
2020-11-04,139.000000,141.699997,137.660004,137.860001,134.815536,4576300
2020-11-05,139.350006,140.270004,137.470001,138.050003,135.001358,3667800
2020-11-06,138.559998,139.770004,137.330002,138.380005,135.324066,2867000
2020-11-09,142.000000,143.649994,138.169998,138.449997,135.392502,6111300
2020-11-10,136.990005,142.440002,136.190002,141.720001,138.590302,5284500
2020-11-11,142.860001,144.240005,141.610001,143.899994,140.722137,4389800
2020-11-12,144.250000,144.740005,142.759995,143.839996,140.663467,2570100
2020-11-13,143.770004,144.889999,143.270004,144.710007,141.514282,2580400
2020-11-16,145.000000,146.259995,144.690002,145.759995,142.541077,3399000
2020-11-17,144.270004,146.100006,144.110001,145.240005,142.032578,2924000
2020-11-18,145.490005,146.570007,143.300003,143.380005,140.213654,4335200
2020-11-19,142.880005,143.699997,142.339996,143.320007,140.154968,4263500
2020-11-20,143.649994,144.639999,143.000000,143.419998,140.252747,3469100
2020-11-23,143.309998,143.649994,141.880005,143.020004,139.861588,3443300
2020-11-24,143.190002,144.360001,142.820007,144.029999,140.849289,4472300
2020-11-25,144.449997,144.919998,143.699997,144.160004,140.976410,2278300
2020-11-27,144.619995,145.279999,144.179993,144.600006,141.406693,1596000
2020-11-30,144.460007,144.630005,142.880005,144.229996,141.044876,4906900
2020-12-01,145.029999,146.630005,144.500000,146.070007,142.844254,3999200
2020-12-02,145.880005,146.940002,143.889999,144.619995,141.426254,4432900
2020-12-03,143.020004,144.960007,143.020004,144.449997,142.266357,4757900
2020-12-04,143.869995,145.979996,143.850006,145.850006,143.645203,3592600
2020-12-07,145.679993,146.559998,144.619995,145.369995,143.172440,4217300
2020-12-08,145.330002,146.160004,144.289993,145.520004,143.320190,3623800
2020-12-09,145.559998,146.100006,144.279999,145.690002,143.487610,3842000
2020-12-10,146.039993,146.289993,144.419998,144.669998,142.483032,3985000
2020-12-11,143.630005,145.100006,143.410004,144.970001,142.778488,2975500
2020-12-14,145.250000,146.470001,144.050003,144.229996,142.049683,3952400
2020-12-15,144.559998,145.270004,143.889999,144.770004,142.581512,3183300
2020-12-16,143.979996,145.470001,143.899994,144.889999,142.699707,4915800
2020-12-17,145.250000,146.199997,145.179993,145.710007,143.507324,3312500
2020-12-18,146.330002,147.100006,145.500000,146.929993,144.708862,8980400
